yard_id,rake_type,rake_id,creation_date,bpc_categ,total_wagons,incoming_bpc,bpc_no,arrival_timestamp,dispatch_timestamp,exam_start_timestamp,exam_comp_timestamp,rake_event_id,ar_to_ex_st,ar_to_ex_st1,arrival_hour,arrival_day,arrival_weekday,arrival_shift,rakes_already_present,rakes_waiting_dispatch,same_type_rakes_present,rakes_already_present_before_exam_complete,time_since_last_dispatch,waited_due_to_previous_rake,time_since_creation_to_arrival,rake_density_score,arrival_date,total_exam_delay_yard_day,avg_delay_yard_day,delay_ratio_to_yard_avg,same_type_rakes_ratio,rush_factor,arrival_to_dispatch_gap,dispatch_wait_penalty_yardwise,prev_rake_arrival,prev_rake_gap_minutes
ACTL/TKD,CONTAINER,CP  080120001928,2023-01-11,REVALID,41,50000491484,50000498331,2023-01-10 13:20:00,2023-01-11 18:19:00,2023-01-11 15:05:00,2023-01-11 16:35:00,CP  080120001928_2023-01-11,1545.0,1545.0,13,2023-01-10,1,Afternoon,0,0,0,0,,0,-640.0,0,2023-01-10,1545.0,1545.0,0.999353169469599,0.0,0,1739.0,1,,
ACTL/TKD,CONTAINER,JUDW210922170602,2023-01-12,REVALID,46,50000497801,50000498645,2023-01-11 18:00:00,2023-01-12 12:20:00,2023-01-12 00:30:00,2023-01-12 02:00:00,JUDW210922170602_2023-01-12,390.0,390.0,18,2023-01-11,2,Evening,1,1,1,0,,0,-360.0,3,2023-01-11,390.0,390.0,0.9974424552429668,0.5,92,1100.0,0,2023-01-10 13:20:00,1720.0
ACTL/TKD,BLC,MATP031122102733,2023-01-13,CC_EXAM,46,,50000499266,2023-01-13 00:15:00,2023-01-14 12:00:00,2023-01-13 17:40:00,2023-01-13 22:40:00,MATP031122102733_2023-01-13,1045.0,1045.0,0,2023-01-13,4,Night,0,0,0,0,715.0,0,15.0,0,2023-01-13,1045.0,1045.0,0.9990439770554492,0.0,0,2145.0,1,2023-01-11 18:00:00,1815.0
ACTL/TKD,BLC,UMB 080621221111,2023-01-15,CC_EXAM,46,50000489853.0,50000499805,2023-01-14 17:40:00,2023-01-15 13:00:00,2023-01-15 01:20:00,2023-01-15 05:00:00,UMB 080621221111_2023-01-15,460.0,460.0,17,2023-01-14,5,Afternoon,0,0,0,0,340.0,0,-380.0,0,2023-01-14,460.0,460.0,0.9978308026030368,0.0,0,1160.0,0,2023-01-13 00:15:00,2485.0
ACTL/TKD,CONTAINER,GMC 221022014735,2023-01-16,REVALID,41,50000496568,50000500398,2023-01-15 18:10:00,2023-01-16 12:59:00,2023-01-16 04:30:00,2023-01-16 06:00:00,GMC 221022014735_2023-01-16,620.0,620.0,18,2023-01-15,6,Evening,0,0,0,0,310.0,0,-350.0,0,2023-01-15,620.0,620.0,0.998389694041868,0.0,0,1129.0,0,2023-01-14 17:40:00,1470.0
ACTL/TKD,CONTAINER,JUDW210922170602,2023-01-18,REVALID,46,50000498645,50000501359,2023-01-17 05:00:00,2023-01-18 16:50:00,2023-01-18 12:15:00,2023-01-18 13:45:00,JUDW210922170602_2023-01-18,1875.0,1875.0,5,2023-01-17,1,Night,0,0,0,0,961.0,0,-1140.0,0,2023-01-17,1875.0,1875.0,0.9994669509594882,0.0,0,2150.0,1,2023-01-15 18:10:00,2090.0
ACTL/TKD,CONTAINER,CP  080120001928,2023-01-20,CC_EXAM,46,50000491484,50000502468,2023-01-20 05:30:00,2023-01-21 03:50:00,2023-01-20 17:00:00,2023-01-20 22:00:00,CP  080120001928_2023-01-20,690.0,690.0,5,2023-01-20,4,Night,0,0,0,0,2200.0,0,330.0,0,2023-01-20,2000.0,1000.0,0.6893106893106893,0.0,0,1340.0,0,2023-01-17 05:00:00,4350.0
ACTL/TKD,CONTAINER,UMB 080621221111,2023-01-21,REVALID,46,50000499805.0,50000502900,2023-01-20 18:40:00,2023-01-21 22:11:00,2023-01-21 16:30:00,2023-01-21 18:00:00,UMB 080621221111_2023-01-21,1310.0,1310.0,18,2023-01-20,4,Evening,1,0,1,1,2990.0,1,-320.0,2,2023-01-20,2000.0,1000.0,1.3086913086913088,0.5,46,1651.0,1,2023-01-20 05:30:00,790.0
ACTL/TKD,CONTAINER,MATP110123092507,2023-01-24,REVALID,41,50000503077,50000504048,2023-01-23 08:30:00,2023-01-24 14:15:00,2023-01-24 09:00:00,2023-01-24 10:30:00,MATP110123092507_2023-01-24,1470.0,1470.0,8,2023-01-23,0,Morning,0,0,0,0,2059.0,0,-930.0,0,2023-01-23,1485.0,742.5,1.9771351714862135,0.0,0,1785.0,1,2023-01-20 18:40:00,3710.0
ACTL/TKD,CONTAINER,MATP031122102733,2023-01-23,REVALID,40,50000499266,50000503763,2023-01-23 19:30:00,2023-01-23 22:25:00,2023-01-23 19:45:00,2023-01-23 21:15:00,MATP031122102733_2023-01-23,15.0,15.0,19,2023-01-23,0,Evening,1,0,1,1,2719.0,1,1170.0,2,2023-01-23,1485.0,742.5,0.0201748486886348,0.5,40,175.0,0,2023-01-23 08:30:00,660.0
